cap_percentile,cap_percentile_value,cap_utilisation,intervals_above_cap,hours_above_cap,excess_utilisation_hours_to_shift,peak_reduction_utilisation,peak_reduction_percent_of_peak
p99,99,0.35158610256379513,176,88.0,0.4935114207382181,0.01681355219062547,4.563943525363392
p95,95,0.3415665174979246,876,438.0,2.639486939342677,0.026833137256495998,7.283703149608886
p90,90,0.33626508557856555,1752,876.0,6.017458646030962,0.032134569175855054,8.722746821594153
p85,85,0.33295759478475156,2628,1314.0,9.619251590986515,0.03544205996966904,9.6205464669328
p80,80,0.33022691577357394,3504,1752.0,13.783846744454884,0.038172738980846666,10.36177382041605
