variability_bucket,n_centres,mean_cv,mean_abs_delta_1h,mean_jump_share_1h,mean_peak_to_average
high,16,0.23623967854708128,0.005358530485013452,0.09947412498702918,1.9883125670319735
low,16,0.03426783706315242,0.0028944910146901657,0.0999840609884504,1.1891793515463287
medium,16,0.07023217431655897,0.003612684527480437,0.09967026258139469,1.3072950916092325
