scenario,profile_basis,operational_definition,original_peak_load,residual_peak_after_flex,annual_peak_reduction_vs_original_percent,mean_day_peak_load,mean_day_energy_utilisation_hours,mean_day_energy_delta_percent,annual_energy_utilisation_hours,annual_energy_delta_percent,shifted_energy_utilisation_hours_year,unmet_shift_budget_utilisation_hours_year,max_increase_vs_original_mean_day,halfhours_above_original_mean_day,active_flex_days,max_peak_hours,recipient_window,mean_unmet_shift_budget_percent,max_unmet_shift_budget_percent,high_unmet_recovery_days,recovery_saturation_days,mean_recovery_capacity_used_percent
Original,annual_mean_day,no flexibility applied,0.3684,0.3684,0.0,0.3271,7.6671,0.0,2798.4768,0.0,0.0,0.0,0.0,0,0,,,,,0,0,
10% Flex only,annual_mean_day,10% load reduction co-optimized across up to 2.5 peak-equivalent hours per day; shifted to 22:00-06:00,0.3684,0.3616,1.8355,0.3238,7.6671,0.0,2798.4768,0.0,16.9634,13.0588,0.0096,16,365,2.5,22:00-06:00,44.1721,93.5049,301,0,15.9075
25% Flex only,annual_mean_day,25% load reduction co-optimized across up to 4.0 peak-equivalent hours per day; shifted to 20:00-08:00,0.3684,0.3616,1.8355,0.3238,7.6671,0.0,2798.4768,0.0,27.9545,92.1343,0.0108,24,365,4.0,20:00-08:00,76.897,94.8272,365,0,7.4605
