scenario,controller_method,battery_duration,profile_basis,original_peak_load,residual_peak_after_flex,residual_peak_after_flex_and_bess,annual_peak_load,mean_horizon_peak_load,annual_peak_reduction_vs_original_percent,annual_peak_reduction_vs_matching_flex_only_percent,mean_horizon_peak_reduction_vs_original_percent,mean_horizon_peak_reduction_vs_matching_flex_only_percent,total_battery_discharge_energy_year,total_battery_charge_energy_year,total_cycles_year,mean_target_grid_power_year,mean_horizon_charge_steps,mean_horizon_discharge_steps,mean_horizon_min_soc,mean_horizon_max_soc,terminal_soc_slack_year,price_signal_used,total_grid_cost_proxy_year
"Original (no flex, no BESS)",,,annual_mean_48h_horizon,0.3684,0.3684,0.3684,0.3684,0.3272,0.0,,0.0,,0.0,0.0,0.0,,0,0,,,0.0,False,
10% Flex + 4h BESS,rolling_48h_peak_cap_price_lp,4h,annual_mean_48h_horizon,0.3684,0.3616,0.3454,0.3454,0.3328,6.247,4.4941,-1.7025,-2.7436,47.3899,52.5933,339.2484,0.3349,96,96,0.0315,0.1085,1.6625,True,261604.8035
10% Flex + 8h BESS,rolling_72h_peak_cap_price_lp,8h,annual_mean_48h_horizon,0.3684,0.3616,0.3454,0.3454,0.3302,6.2362,4.483,-0.9048,-1.9378,39.0453,43.3837,279.686,0.3348,96,96,0.0412,0.0994,1.5349,True,261975.9941
25% Flex + 4h BESS,rolling_48h_peak_cap_price_lp,4h,annual_mean_48h_horizon,0.3684,0.3616,0.3407,0.3407,0.3321,7.5223,5.7932,-1.4972,-2.5362,67.1867,74.5936,192.4274,0.3321,96,96,0.101,0.2237,3.4535,True,260889.7779
25% Flex + 8h BESS,rolling_72h_peak_cap_price_lp,8h,annual_mean_48h_horizon,0.3684,0.3616,0.3404,0.3404,0.3315,7.6045,5.877,-1.3187,-2.3559,55.2117,61.3463,158.1949,0.3315,96,96,0.1338,0.218,6.6297,True,261505.576
